FECHA PRECIP  EVAP   TMAX   TMIN
09/07/1991  0.1   Nulo    25     17 
10/07/1991  0     Nulo    27     17 
11/07/1991  0.1   Nulo    26     20 
12/07/1991  0     Nulo    26     18 
13/07/1991  0     Nulo    25     18 
14/07/1991  0     Nulo    25     17 
15/07/1991  0.1   Nulo    26     16 
16/07/1991  4.2   Nulo    26     17 
17/07/1991  0.6   Nulo    25     18 
18/07/1991  0.5   Nulo    26     17 
19/07/1991  0     Nulo    25     17 
20/07/1991  0     Nulo    26     17 
21/07/1991  0     Nulo    24     18 
22/07/1991  0.8   Nulo    26     16 
23/07/1991  1     Nulo    26     18 
24/07/1991  0.8   Nulo    26     18 
25/07/1991  0.8   Nulo    26     17 
26/07/1991  0.7   Nulo    26     18 
27/07/1991  5     Nulo    25     18 
28/07/1991  0.2   Nulo    24     17 
29/07/1991  0.5   Nulo    24     16 
30/07/1991  0.5   Nulo    25     16 
31/07/1991  0     Nulo    25     16 
01/08/1991  4.5   Nulo    26     16 
02/08/1991  0.5   Nulo    24     18 
03/08/1991  0     Nulo    26     16 
04/08/1991  0     Nulo    25     18 
05/08/1991  0     Nulo    24     16 
06/08/1991  2     Nulo    26     16 
07/08/1991  2     Nulo    26     18 
08/08/1991  4.2   Nulo    25     18 
09/08/1991  0.8   Nulo    25     17 
10/08/1991  0.2   Nulo    24     17 
11/08/1991  2     Nulo    24     16 
12/08/1991  0     Nulo    25     16 
13/08/1991  1.6   Nulo    26     18 
14/08/1991  0     Nulo    24     17 
15/08/1991  0     Nulo    25     16 
16/08/1991  0.5   Nulo    27     17 
17/08/1991  1.6   Nulo    26     19 
18/08/1991  2.5   Nulo    25     18 
19/08/1991  1.6   Nulo    25     16 
20/08/1991  0.5   Nulo    25     18 
21/08/1991  0.5   Nulo    25     18 
22/08/1991  1.2   Nulo    24     18 
23/08/1991  4     Nulo    25     16 
24/08/1991  0.6   Nulo    25     18 
25/08/1991  3     Nulo    25     17 
26/08/1991  1.2   Nulo    25     17 
27/08/1991  1     Nulo    26     16 
28/08/1991  1.5   Nulo    24     17 
29/08/1991  0.3   Nulo    25     16 
30/08/1991  1.2   Nulo    24     16 
31/08/1991  0     Nulo    24     16 
01/09/1991  0.8   Nulo    24     17 
02/09/1991  0     Nulo    25     16 
03/09/1991  5.5   Nulo    25     17 
04/09/1991  0.9   Nulo    26     17 
05/09/1991  0     Nulo    24     18 
06/09/1991  0.7   Nulo    24     16 
07/09/1991  0     Nulo    24     15 
08/09/1991  3     Nulo    24     16 
09/09/1991  0     Nulo    23     16 
10/09/1991  3     Nulo    22     16 
11/09/1991  0     Nulo    22     14 
12/09/1991  0     Nulo    21     14 
13/09/1991  0     Nulo    20     13 
14/09/1991  1     Nulo    20     12 
15/09/1991  2     Nulo    21     12 
16/09/1991  0.6   Nulo    22     13 
17/09/1991  0.2   Nulo    22     15 
18/09/1991  1     Nulo    20     14 
19/09/1991  1     Nulo    22     12 
20/09/1991  0.1   Nulo    24     14 
21/09/1991  0     Nulo    23     16 
22/09/1991  0     Nulo    21     15 
23/09/1991  0     Nulo    22     13 
24/09/1991  0     Nulo    22     14 
25/09/1991  0     Nulo    20     14 
26/09/1991  0     Nulo    17     12 
27/09/1991  0.5   Nulo    19     8 
28/09/1991  0     Nulo    19     11 
29/09/1991  0     Nulo    19     11 
30/09/1991  0     Nulo    20     11 
01/10/1991  0     Nulo    19     11 
02/10/1991  0     Nulo    19     11 
03/10/1991  0     Nulo    19     11 
